"","model","wt","upp","low","week","alpha","step","rep"
"241","arima",0.74303185134761,0.97623105,0.114741325,32,1,1,1
"242","asg",0.0233648846315768,0.087863565,0.0005855105,32,1,1,1
"243","naive",0.225194688212985,0.8520597,0.0048634475,32,1,1,1
"244","sir",0.00840857579676946,0.0311882575,0.000219413525,32,1,1,1
"245","arima",0.2908914171,0.3585833,0.2276438,32,50,1,1
"246","asg",0.24494539068,0.307618025,0.187954975,32,50,1,1
"247","naive",0.28345482708,0.351643075,0.22060875,32,50,1,1
"248","sir",0.180708360882,0.230107075,0.13563985,32,50,1,1
"249","arima",0.74697795348154,0.97621905,0.122869525,33,1,1,1
"250","asg",0.0238661413153882,0.089145305,0.00059639315,33,1,1,1
"251","naive",0.220720978367776,0.843792475,0.00476798975,33,1,1,1
"252","sir",0.0084349263428962,0.0311251875,0.000225341325,33,1,1,1
"253","arima",0.29013463602,0.357964325,0.226044725,33,50,1,1
"254","asg",0.24573212932,0.308534175,0.188182775,33,50,1,1
"255","naive",0.28306877556,0.35053505,0.220578975,33,50,1,1
"256","sir",0.181064462784,0.23077705,0.136563875,33,50,1,1
"257","arima",0.74886882106746,0.9758286,0.127044,34,1,1,1
"258","asg",0.024760784223821,0.09289985,0.00062017345,34,1,1,1
"259","naive",0.217871897176212,0.836975425,0.00475436325,34,1,1,1
"260","sir",0.0084984992871766,0.0314428975,0.0002121032,34,1,1,1
"261","arima",0.2897080501,0.35847735,0.225507975,34,50,1,1
"262","asg",0.24623295932,0.308082025,0.189011275,34,50,1,1
"263","naive",0.2826975429,0.34958815,0.22011665,34,50,1,1
"264","sir",0.181361441922,0.2310961,0.136784775,34,50,1,1
"265","arima",0.74943820630494,0.975637075,0.1339905,35,1,1,1
"266","asg",0.0254689577439723,0.0941960825000001,0.000652166,35,1,1,1
"267","naive",0.21651318178648,0.832939775,0.004590337,35,1,1,1
"268","sir",0.00857965473206324,0.03178222,0.000235086425,35,1,1,1
"269","arima",0.28941338126,0.3568366,0.225762725,35,50,1,1
"270","asg",0.24732679984,0.309685375,0.189899975,35,50,1,1
"271","naive",0.28160096044,0.348400425,0.218651925,35,50,1,1
"272","sir",0.18165885418,0.23196925,0.136515775,35,50,1,1
"273","arima",0.75753312248332,0.97543985,0.16077375,36,1,1,1
"274","asg",0.0261091467028246,0.0975557775,0.0006654271,36,1,1,1
"275","naive",0.207736432725674,0.805647,0.0045107855,36,1,1,1
"276","sir",0.00862129844619418,0.032245455,0.0002257912,36,1,1,1
"277","arima",0.28901590992,0.357456925,0.225511725,36,50,1,1
"278","asg",0.24825972356,0.310925375,0.190438875,36,50,1,1
"279","naive",0.28108668772,0.348744475,0.21835375,36,50,1,1
"280","sir",0.18163768348,0.231560275,0.136805875,36,50,1,1
"281","arima",0.7563737808664,0.974742075,0.161002275,37,1,1,1
"282","asg",0.0268358828267876,0.099326045,0.000673540575,37,1,1,1
"283","naive",0.208069043910363,0.803028,0.0044207115,37,1,1,1
"284","sir",0.00872129485549392,0.0325861,0.000222254375,37,1,1,1
"285","arima",0.28876730364,0.35680615,0.224777525,37,50,1,1
"286","asg",0.24891932882,0.311336125,0.1916068,37,50,1,1
"287","naive",0.28049734472,0.347937375,0.2181056,37,50,1,1
"288","sir",0.181816022702,0.23204035,0.13688995,37,50,1,1
"289","arima",0.76048483455558,0.975418,0.1719552,38,1,1,1
"290","asg",0.0275255793458673,0.103732,0.000702839,38,1,1,1
"291","naive",0.203282309164975,0.79381225,0.0043759595,38,1,1,1
"292","sir",0.0087072762515917,0.0322645325,0.000211017125,38,1,1,1
"293","arima",0.2883985326,0.356932075,0.22457285,38,50,1,1
"294","asg",0.24982105476,0.312804125,0.191549975,38,50,1,1
"295","naive",0.28033385754,0.347634075,0.217893875,38,50,1,1
"296","sir",0.18144654959,0.23083205,0.137074925,38,50,1,1
